sentence,aspect,theme,description
There is not sufficient detail to reproduce the models based on the paper alone.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Moreover, it seems strange that significant space was used to give equations describing simple embedding lookups (i.e., matrix multiplications with one-hot vectors), but the basic technical foundations of Transformers were not adequately explained.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"For example, one question is how often a single partial tree has multiple possible completions in the data.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Why? If we are learning the distribution, would not it make sense to sample all architectures only after training the supernet at our best?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Do they here refer to the gradients with respect to the weights ONLY?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Could we say that the advantage of the Gumbel Softmax technique is two-fold? i) make the loss differentiable with respect to the arch parameters; ii) reduce the variance of the estimate of the loss gradients with respect to the network weights.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"2)	Can the author discuss why the soft sampling procedure in [1] is not enough? I have an intuitive understanding of this, but I think this should be clearly discussed in the manuscript as this is a central aspect of the paper.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
3)	The authors use a certain number of warmup steps to train the network weights without updating the architecture parameters to ensure that “the weights are sufficiently trained”. Can the authors discuss the choice on the number of warmup epochs?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
- It would greatly benefit the reader if eq. 5 were expanded.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
- The approach also seems to add a lot of complexity and heuristics/hyper-parameters.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
(c) The authors should present what they mean by a dilated convolution using the notation of the paper.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
- the method is not applicable to episodes of different length,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"At last, I am pretty sure to not be able to reproduce the model described in the paper (adding a section on that in the supplementary material would help), and many concrete aspects are described too fast (like the way to sample negative pairs).",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Is Harmonic Convolution applicable to complex STFT coefficients as well?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
If so it would be better to define the operator in a more general notation.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"In Section 4.3 and 4.4, is the x_0 (defined in Section 2.1) complex-valued STFT coefficients or something else?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"What is the L1 loss defined in Section 4.4? To obtain the final separated audio waveform, an inverse STFT is applied on what?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
The main problem I see with these approaches is that they rely on sufficiently large batch sizes which could be (currently) problematic for many real-world applications.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Lastly, if the authors are not planning to release the code, the implementation details section is a bit too high-level and does not contain enough details to reimplement the Author's technique.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Also how many steps are required to learn the linear interpolation ? How much the does it influence the quality of the interpolation ?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
It is also not clear what are the assumptions made on the connectivity of the input graph and the target graph.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Do we know how does the connectedness of the  input graph affect the translation quality in the case of strongly connected directed graphs? Or what happens if the target graph has a strong connectivity?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Towards this, how does the computational complexity scale wrt to the connectedness?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
A lot of clarity is required on the choice of evaluation metric; for example choice of distance measure ?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
What is the L1 norm applied on?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
- Trick is specific to LM.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
It seems heavily dependent on GBDT.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
1. I do not get the point of bringing up NCE. Did you actually use NCE loss? Did you only refer to NCE as a weight tying which can be used in a standard XENT loss [3]? The first paragraph of 3.3 did not help clarify this point either.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"2) Beware of overstating: the argument that the framework is broadly applicable is not that useful, given that it's a lot of work to derive closed-form marginalized estimators.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
The method presented is interesting; but it is not clear that it is present with enough detail for it's results to be replicated.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Was crossvalidation used to select the topology?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"If so, what was the methodology.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Moreover, these bounds are just in the case where the teacher model is linear and while it is claimed that this could be relaxed to a more general class of functions, the specific bounds might change drastically.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"So any insights on the nature of these bounds will be valuable, especially with some comments on how these bounds change if the teacher model is itself realized as a 2-layer neural network.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
1 The implementation steps of the proposed method (MoVE) are not clear.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"In 3/4 of the pairs the author tried, this phenomenon is not there. Whether the findings generalize to other situations where the phenomenon appears is uncertain.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"2. I might have missed it, but I couldn't find any motivation on why tanh is used as nonlinearity. Would the method work with relu?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"To be honest, the theoretical contribution of the paper is limited.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
More discussions on these questions can be very helpful to further understand the proposed method.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"2. As the problem is formulated as an RL problem, which is well-known for its difficulty in training, did we encounter similar issues? More details in the implementation can be very helpful for reproducibility.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"It should be better motivated why one should use the duality gap as an upper bound for the ""F-distance"".",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Minimizing the F-distance as is usually done seems like the more direct and simple approach.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
- I have trouble understanding the overall idea behind Algorithm 1 and Eq. (22).,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
What is the definition of f^* and g^* in Eq. (22)? Some explanatory text would be valuable.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
1. The authors should provide more details on how the hand-crafted demonstrator agents were made.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"I assume something similar to an a* algorithm was probably used for the passing task, but what about the maze navigation task?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
How do “we choose a specific number of assignments based on prediction probabilities”?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"- The CFS metric depends on a hyperparameter (the ""retention ratio""), which here is arbitrarily set to 80% without any justification.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"13. Reproducibility seems like it would be hard. There are a few parameters (meta-learning rates, meta-optimizers) that I could not find for example and there is a lot of complexity.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Negative points: (1) The authors should provide more justification on equation-3.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Why do the authors directly average different loss for the discriminator and the classifer?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"(2) The function of the discriminator is not very clear, especially for the classification error test.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Why can pGAN lead to the inclination? Is it possible for pGAN to control the specific error tendency?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"However, it is unclear how a similar strategy could be applied if we are interested in learning variables with higher-level semantics such as the expression of a face or its pose.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
3. how are predicted labels embedded? Do you learn a vector of each tag of BIOES and then take a weighted sum of these vectors with predicted probabilities as weights?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
The main drawback would be the rather incrementality of that paper (basically sample before projecting is a bit better than projecting after sampling) and that this directional setting is quite limited...,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
2. The learning procedure is confusing.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
It is highly recommended to provide the pseudocode of the proposed method.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
The reasons for the use of the energy-based formulation are not clear to me.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Is the energy-based model particularly well-suited to the random-projection setup, or are there other reasons for using it, independent of the use of random projections?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"The index over which the sum happens is n, but n is fixed? So this looks like a sum with just one component in it, namely the first n-gram.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
- It is not clear how the initialisation (10) is implemented.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Particularly the ""fusion"" module remains extremely unclear.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
It is not clear to me that the classifier difference metric is well-defined.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"Equation (4). What is d_{k,l}? A pixel-wise target label? Where does it come from?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"2) How are the rules from in Eq (2)? i.e., how is \beta_i selected for each i?",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"- Very little details (apart from the optimization algorithm) are given regarding the architecture used (types of input, output, neural units, activation functions, number of hidden layers, loss function, etc...), which makes it very hard to reproduce this approach.",asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
It would be interesting to know the evaluation times for the BA-net and more importantly to have some implementation details to ensure reproducibility.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
Overall it would be helpful for reproducibility if authors can visualize all the layers of all the different parts of the network as it is commonly done in the DL papers.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
-	How the first camera pose is initialized?,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
This is all further confused by the semantic topics used for clustering the images which ignores stop words and therefore spatial relations or any grammatical nuances.,asp_replicability,MET,"Missing details on methodology (eg., use of notation, use on tasks, etc)"
"In general, the space that was used to explain the Transformer baselines---which are essentially straightforward ways to adapt transformers to this task---could have been used to give more detail on the dataset.",asp_replicability,MET_DAT,"Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)"
"1. What are the key limitations of AutoLoss ? Did we observe some undesirable behavior of the learned optimization schedule, especially when transfer between different datasets or different models ?",asp_replicability,MET_DAT,"Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)"
Does the discriminator exclude the poisoning data according to certain rule?,asp_replicability,MET_DAT,"Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)"
"But there is no attempt to generalize the findings (e.g. new datasets not from original study, changing other parameters and then evaluating again if these techniques help etc.), not clear",asp_replicability,MET_DAT,"Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)"
"- Did the experiments on CIFAR-10 and ImageNet use the cosine learning rate schedule [1]? If or if not, either way, you should specify it in a revised version of this paper, e.g. did you use the cosine schedule in the first 120 steps to train the shared parameters W, did you use it in the retraining from scratch?",asp_replicability,MET_EXP,"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification."
"- Although the authors discussed the experiment setting in detail in supplements, I believe open-sourcing the code / software used to conduct the experiments would be greatly help with the reproducibility of the proposed method for researchers or practitioners.",asp_replicability,MET_EXP,"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification."
"For example, for baseline 1, it is very hard to understand why would we want to use such an unusual baseline, and why it is called a ""random baseline"".",asp_replicability,MET_RWK,"For example, for baseline 1, it is very hard to understand why would we want to use such an unusual baseline, and why it is called a ""random baseline""."
"Clarifications of these points, and more in general the philosophy behind the architectural choices made, would make this paper a much clearer accept.",asp_replicability,OAL,"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification."
My concern for this paper is reproducibility.,asp_replicability,OAL,"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification."
"This sort of two-stage generation is also potentially interesting, I was wondering if the authors had ideas to generalize this idea.",asp_replicability,PDI,"This sort of two-stage generation is also potentially interesting, I was wondering if the authors had ideas to generalize this idea."
"While the authors do report some interesting results, they do a poor job of motivating the proposed extensions.",asp_replicability,RES,Missing details for reproducibility of result
These points remain me puzzled regarding either practical or theoretical application of the result. It would be great if authors could elaborate.,asp_replicability,RES,Missing details for reproducibility of result
"Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.",asp_replicability,RES,Missing details for reproducibility of result
"Can you explain somewhere exactly what you mean when you say ""learning dynamics of deep learning""? Given the specific nature of the results presented in the paper it would be nice to be precise also when it comes to the overall topic under study.",asp_replicability,RES,Missing details for reproducibility of result
3.	Are the authors willing to release the code? Overall the model looks complicated and the appendix is not sufficient to reproduce the results in the paper.,asp_replicability,RES,Missing details for reproducibility of result
I trust that the authors did in fact achieve these results but I cannot figure out how or why.,asp_replicability,RES,Missing details for reproducibility of result
- very incremental improvements on PTB over a very simple baseline (far from SotA),asp_replicability,RWK,Missing implementation details of related work used as baselines
"3. The graph neural networks used in the model are not described in the paper, only a reference to Paliwal et al (2019) is given.",asp_replicability,RWK,Missing implementation details of related work used as baselines
"It would be helpful to have a brief paragraph describing this architecture, for readers not familiar with the referenced paper.",asp_replicability,RWK,Missing implementation details of related work used as baselines
"1) I wonder if the proposed method work for most GAN models, more experiments evaluated on more recent GAN-based  models should be added to verify the superiority claimed in this paper, e.g., TP-GAN [Huang et al., ICCV 2017], PIM [Zhao et al., CVPR 2018], DR-GAN [Tran et al., CVPR 2017], DA-GAN [Zhao et al., NIPS 2017], MH-Parser [Li et al., 2017], 3D-PIM [Zhao et al., IJCAI 2018], SimGAN [Shrivastava et al., CVPR 2016], AIM [Zhao et al., AAAI 2019].",asp_replicability,RWK,Missing implementation details of related work used as baselines
"Some details are missing, which is hardly reproduced by the other researchers.",asp_replicability,RWK,Missing implementation details of related work used as baselines
"- In Table 2 and 3, how are the degree and block information leveraged into the model?",asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
"It is also unclear how the calculation of relative entropy ""D"" was performed in figure 3.",asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
"1. Where is L_da in Figure 2? In Figure 2, what’s the unlabelled data from which testing tasks are drawn? Is it from meta-test data training set?",asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
"- for Figure 6, there is not a clear conclusion.",asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
- in section 4.3 how is the reconstruction built (Figure 3b)?,asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
I'm not sure I understand the PCA figures. Can you please explain how the first principal component was used to generate them?,asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
"(d) In Figure 2, it is unclear to me how the 1/f^2 law is observed in (a) but not in (c) or (e).",asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
It is not clear how the noise is introduced in the graphs.,asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
* \sigma is not given in Figure 3(a),asp_replicability,TNF,"Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)"
"Therefore, it may be a good idea for the authors to analyze the correlation between FSM changes and accuracy changes.",asp_substance,ANA,Lack of analysis
- no qualitative analysis on how modulation is actually use by the systems.,asp_substance,ANA,Lack of analysis
"-2 Diversity of additional ""agents"" not analyzed (more below).",asp_substance,ANA,Lack of analysis
- Missed opportunity of better analysis of which theorem/rewrite rule properties are more likely to fail,asp_substance,ANA,Lack of analysis
"Presumably, whether the benefit scales well will depend on the loss function - in any case, this warrants some analysis/discussion especially given that there are no experiments to test it.",asp_substance,ANA,Lack of analysis
"- One thing I am confused about is the residual model, which seems quite important for the pipeline but I cannot find details describing it and much analysis on this component.",asp_substance,ANA,Lack of analysis
"4. Mean field analysis, although it lends an insight into the statistics of the activations, needs to connected with empirical observations.",asp_substance,ANA,Lack of analysis
"For the modeling contribution, although it shows some improvements on the benchmarks and some nice analysis, the paper really doesn’t explain well the intuition of this “write” operation/Scratchpad (also the improvement of Scratchpad vs coverage is relatively limited). Is this something tailored to question generation? Why does it expect to improve on the question generation or it can improve any tasks which build on top of seq2seq+att framework (e.g., machine translation, summarization -- if some results can be shown on the most competitive benchmarks, that would be much more convincing)?",asp_substance,ANA,Lack of analysis
\alpha^i_t and u^i are also pretty complex and it would be good to conduct some ablation analysis.,asp_substance,ANA,Lack of analysis
I would have liked to see a bit more analysis as to why some pre-training strategies work over others.,asp_substance,ANA,Lack of analysis
- It would be nice if more network architectures were analysed (such as VGG and DenseNets).,asp_substance,ANA,Lack of analysis
- It would be nice if different stopping criteria were analysed.,asp_substance,ANA,Lack of analysis
"Moreover, said the analysis is in my opinion not sufficiently rigorous, with hand-wavy arguments, no formal proof and unclear terms (e.g. how do you define near-optimal?)",asp_substance,ANA,Lack of analysis
"In that regard, I would like the authors to comment on the worst-case computational complexity of the numerical analysis for determining the volume of a preimage through multiple layers.",asp_substance,ANA,Lack of analysis
"While this assumption seems plausible,  no analysis has been done to verify it in a systematic way.",asp_substance,ANA,Lack of analysis
This may also help to understand some of the limitations of this analysis.,asp_substance,ANA,Lack of analysis
"And the analysis of the ""dynamic range"" of the algorithim is missing.",asp_substance,ANA,Lack of analysis
"- The premises of the analyses are not very convincing, limiting the significance of the paper.",asp_substance,ANA,Lack of analysis
2. The authors should provide ablation study and analysis of their CTAugment.,asp_substance,ANA,Lack of analysis
"4. The authors hypothesize that “stronger augmentation can result in disparate predictions, so their average may not be a meaningful target.” However, they do not show any analysis to support this hypothesis.",asp_substance,ANA,Lack of analysis
-- The analysis is relatively straightforward and boils down to bucketing the error and integration over the buckets.,asp_substance,ANA,Lack of analysis
"-- The machine learned advice is assumed to be flawless at identifying the Heavy Hitters, authors might want to consider incorporating errors in the analysis.",asp_substance,ANA,Lack of analysis
2. It is hard to understand what the model has learned compared to hand-crafted schedule. Are there any analysis other than the results alone?,asp_substance,ANA,Lack of analysis
"If that's the goal, however, a more detailed error analysis would need to be included.",asp_substance,ANA,Lack of analysis
(This seems like something that could easily be done in the empirical analysis as well and would provide richer empirical signals as well),asp_substance,ANA,Lack of analysis
"Recommendations for the authors: Would it be possible to provide an analysis of the cases when TabNN is expected to outperform GBDT by a sizable margin? Or, if not, are there other reasons why using a neural network would make more sense than just simply running GBDT?",asp_substance,ANA,Lack of analysis
"- The analysis has focused on a very simple case of having a linear discriminator which for example in WGAN, forces the first moments to match. How does the analysis extend to more realistic cases?",asp_substance,ANA,Lack of analysis
I feel that the idea deserves a broader analysis beyond just a single choice of disentanglement.,asp_substance,ANA,Lack of analysis
- Lack of theoretical analysis. It could have been nice if the authors could show the observed phenomenon analytically on some simple distribution.,asp_substance,ANA,Lack of analysis
More rigorous experiments and analysis is needed to make this a good ICLR paper.,asp_substance,ANA_EXP,"The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1)."
- (W2) Related to the last line: I did not see any experiments / analysis showing how stable these different numbers are across different runs of the representation technique. Nor did I see any error bars in the experiments.,asp_substance,ANA_EXP,"The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1)."
which is much smaller than the number of time series usually involved say in gene regulatory network data,asp_substance,DAT,Less datasets used
"2.	Data size is too small, and the baselines",asp_substance,DAT,Less datasets used
"Did the authors also examine the relationship between mutual information and generalization error for CIFAR data sets? Does it not make sense to examine this for all (most of) the setups considered in Table 4, 8, and 9.",asp_substance,DAT,Less datasets used
"Due to the different objects used in the different datasets, some of the experiments have a smaller set of words.",asp_substance,DAT,Less datasets used
It will be also interesting to see how does the proposed method perform on large-scale datasets such as DomainNet and Office-Home dataset:,asp_substance,DAT,Less datasets used
"Weaknesses: The dataset created here is entirely synthetic, and the paper only includes one single small real-world case; it seems like it would be easy to generate a larger and more varied real world dataset as well (possibly from the large literature of extant solved problems in workbooks).",asp_substance,DAT,Less datasets used
"The descriptions of the datasets used are not clear, e.g., the number of classes for each data.",asp_substance,DAT,Less datasets used
"First, the labeled data portion is fixed and is relatively high",asp_substance,DAT,Less datasets used
"For example, the number of labeled examples in Table 1 is fairly large and inconsistent (4K, 1K, 10K for the 3 organic datasets).",asp_substance,DAT,Less datasets used
"BSD 500 only contains 500 images, and it would be good if more diverse set of images are considered.",asp_substance,DAT,Less datasets used
"- Some of the datasets the authors currently test on are quite toy, especially for the image-based MNIST and SVHN datasets.",asp_substance,DAT,Less datasets used
Is it better to decay learning rates for toy data sets?,asp_substance,DAT,Less datasets used
It is difficult to judge the performance of the proposed model based on so small data set.,asp_substance,DAT,Less datasets used
"The first point would be: what's the meaning of synthetically generating training curves other than proving that transformer achieves good performance in modeling discrete distribution? Most practical problems would not have the same distribution as the previously gathered public dataset, thus the data is not representative, and synthetic training curves just does not make sence.",asp_substance,DAT,Less datasets used
* There is still no comparison with competing nonparametric tests on the fMRI data.,asp_substance,DAT,Less datasets used
- How much does the image matter for the single-image data set?,asp_substance,DAT,Less datasets used
"The author can perhaps consider the datasets used by Tsai et al. There are seven datasets, and they can all be modified to the setting of partially-observable multimodal data.",asp_substance,DAT,Less datasets used
"Apart from the assumption H1 of linear separability of the data (which I don't mind), the results require very strong assumptions, in particular hypothesis H2 stating ""at the beginning of training data points from different classes do not activate the same neurons"".",asp_substance,DAT,Less datasets used
"It would have been very interesting to study the quality of interpolations on more models and datasets, and compare their generalization capabilities as well as the bias present in the different datasets.",asp_substance,DAT,Less datasets used
"Third, the datasets used in this paper are rather limited.",asp_substance,DAT,Less datasets used
What is the minimum/maximum size of the data set? Do we really need a large data set or just a subset that covers the data distribution?,asp_substance,DAT,Less datasets used
- Fitting 6 parameters to 42-49 data points raises concerns about overfitting.,asp_substance,DAT,Less datasets used
"Consider doing cross validation over those 42-49 data points, and report the mean of deviations computed on the test folds.",asp_substance,DAT,Less datasets used
My only issue here is that very little information was given about the size of the training sets. Did they use all the samples?,asp_substance,DAT,Less datasets used
"However, in the proposed domain of tabular data, often data sets are significantly more high dimensional in reality and include at least one set of sparse large dimensional features",asp_substance,DAT,Less datasets used
"However, these were done using 1 dataset and also a simple feed-forward network (rather than LSTM).",asp_substance,DAT,Less datasets used
"Thus, it might be helpful to test the result on another dataset (e.g. WikiText).",asp_substance,DAT,Less datasets used
"Comparing to this approach, I wonder if it would be better to provide samples that exhibit a particular factor, or samples that conceal the factor?",asp_substance,DAT,Less datasets used
However image captioning datasets are not mentioned.,asp_substance,DAT,Less datasets used
It would make sense to use image captioning data to create the image lookup.,asp_substance,DAT,Less datasets used
"Given the title of the paper, it would have been nice if this paper explored more than just MNIST vs NotMNIST and SVHN vs CIFAR10, so that the readers can gain a better feel for when generative models will be able to detect outliers.",asp_substance,DAT,Less datasets used
The second order analysis is good but it seems to come down to just a measure of the empirical variances of the datasets.,asp_substance,DAT,Less datasets used
- Lack of an extensive exploration of datasets,asp_substance,DAT,Less datasets used
"- In particular, Section 4 is a series of empirical analyses, based on one dataset pair.",asp_substance,DAT,Less datasets used
"According to the conclusions of the paper, such dataset pairs should be easy to find -- just find a dataset that ""lies within"" another. Did you try e.g. CIFAR-100 train and CIFAR-10 test?",asp_substance,DAT,Less datasets used
"7. The evaluation on two datasets seems to be rather limited, additional comparisons should be included.",asp_substance,DAT,Less datasets used
"First, larger data sets such as Wikitext-2 and Wikitext-103, and/or the billion-word benchmark, are needed to understand how well the approach works in practical LM settings.",asp_substance,DAT,Less datasets used
"* There was some analysis of the augmented IMDB dataset, but none of the SNLI dataset.",asp_substance,DAT,Less datasets used
"That's a very simple kind of question; more generally, I'd like to see more analysis of the new dataset.",asp_substance,DAT,Less datasets used
Q1: Has the authors tried more complicated datasets such as CIFAR-10 to evaluate the pGAN method? It would make the paper more convincing to add results on more complex datasets.,asp_substance,DAT,Less datasets used
o use of the Penn Treebank dataset only;,asp_substance,DAT,Less datasets used
"- it is not really clear to be what data the graphs show: the boxplots show 5% of what data? does it also include the models obtained by gaussian process regression? and what about the line plots, is it the best model so far as you train more and more models? if so, how are those models chosen and ordered? are they the results of single models or average of multiple ones?",asp_substance,DAT,Less datasets used
"However, my concern is that the paper focuses only on a very specific application domain,  and an improvement over the niche dataset with much more supervision (from the extension) is not surprising at all. In the mean time, the notion of ""Neural Stethoscopes"" could be much more  generally applied. Without applications in other domains, it is not immediately clear what the paper's implication is.",asp_substance,DAT,Less datasets used
"1. If we do not have access to the model parameter, the training data, or the artifacts during training like the discriminator, what are some of the real world situations that fit this description? In those cases, is it too much to assume that we can control the random seed input to G?",asp_substance,DAT,Less datasets used
2. Is it reasonable to assume some constraints on how much data we can get from the blackbox generator?,asp_substance,DAT,Less datasets used
- the data sets used in the experiments are very small,asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
"However, given that the datasets used in the experiments were not used in the associated benchmark papers, it is necessary for authors to explain how they trained competing models.",asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
"The experiments use fairly small datasets, where the performance can be largely influenced by how good the feature extractor backbone is (e.g. training on more data and using deeper architecture would warrant better performance, and thus may change the conclusion).",asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
The experimental results presented were all done on small synthetic datasets and it’s hard to evaluate whether the method is practically useful.,asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
"2.	The experimental data set is too small, with only 635 problems.",asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
"However, the selected experiments on the cubic regression toy data (Section 5.1) and the out-of-distribution classification (Section 5.2) are clear examples of system’s noise, i.e. epistemic uncertainty.",asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
I believe that a more challenging experiment should be conducted e.g. using celebA dataset.,asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
"The empirical evaluation is quite weak- one sparsity setting, two baselines, one dataset",asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
Since the paper focuses explicitly on providing contrastive explanations for choosing a class A over another class B -- experiments on datasets which do not have real-images seem insufficient.,asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
"Regarding contrastive explanations, experiments on datasets where distractor classes (y_probe) are present in addition to the class interest (y_true) seem important -- PASCAL VOC, COCO, etc.",asp_substance,DAT_EXP,"Lack of realistic datasets used in experiments (small siz, synthetic)"
